State,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
Texas,2020-09-16,2020-09-28,39.5,36.4,42.7,36.4 - 42.7,2020,Sep
Utah,2020-09-16,2020-09-28,38.5,35.5,41.5,35.5 - 41.5,2020,Sep
Vermont,2020-09-16,2020-09-28,36.6,30.8,42.7,30.8 - 42.7,2020,Sep
Virginia,2020-09-16,2020-09-28,36.5,32.8,40.3,32.8 - 40.3,2020,Sep
Washington,2020-09-16,2020-09-28,39.9,36.9,42.9,36.9 - 42.9,2020,Sep
West Virginia,2020-09-16,2020-09-28,39.2,33.3,45.4,33.3 - 45.4,2020,Sep
Wisconsin,2020-09-16,2020-09-28,30.8,26.9,34.9,26.9 - 34.9,2020,Sep
Wyoming,2020-09-16,2020-09-28,33.2,28.4,38.3,28.4 - 38.3,2020,Sep
Alabama,2020-09-30,2020-10-12,25,20.9,29.4,20.9 - 29.4,2020,Sep
Alaska,2020-09-30,2020-10-12,27.1,24,30.4,24.0 - 30.4,2020,Sep
Arizona,2020-09-30,2020-10-12,25,22.1,28,22.1 - 28.0,2020,Sep
Arkansas,2020-09-30,2020-10-12,30.2,25.6,35.1,25.6 - 35.1,2020,Sep
California,2020-09-30,2020-10-12,29.4,27.1,31.8,27.1 - 31.8,2020,Sep
Colorado,2020-09-30,2020-10-12,23.8,21.3,26.4,21.3 - 26.4,2020,Sep
Connecticut,2020-09-30,2020-10-12,22.9,19.9,26,19.9 - 26.0,2020,Sep
Delaware,2020-09-30,2020-10-12,24.6,19.6,30.1,19.6 - 30.1,2020,Sep
District of Columbia,2020-09-30,2020-10-12,19.9,15.1,25.4,15.1 - 25.4,2020,Sep
Florida,2020-09-30,2020-10-12,26,23.6,28.5,23.6 - 28.5,2020,Sep
Georgia,2020-09-30,2020-10-12,23.9,20.2,27.8,20.2 - 27.8,2020,Sep
Hawaii,2020-09-30,2020-10-12,30.1,24.9,35.7,24.9 - 35.7,2020,Sep
Idaho,2020-09-30,2020-10-12,21,18.3,24,18.3 - 24.0,2020,Sep
Illinois,2020-09-30,2020-10-12,24.1,21.1,27.4,21.1 - 27.4,2020,Sep
Indiana,2020-09-30,2020-10-12,23.1,20.2,26.2,20.2 - 26.2,2020,Sep
Iowa,2020-09-30,2020-10-12,19.6,15.5,24.2,15.5 - 24.2,2020,Sep
Kansas,2020-09-30,2020-10-12,22.7,18.9,26.7,18.9 - 26.7,2020,Sep
Kentucky,2020-09-30,2020-10-12,31.5,27,36.4,27.0 - 36.4,2020,Sep
Louisiana,2020-09-30,2020-10-12,28.4,25,32,25.0 - 32.0,2020,Sep
Maine,2020-09-30,2020-10-12,24.4,19.6,29.6,19.6 - 29.6,2020,Sep
Maryland,2020-09-30,2020-10-12,24.4,21.8,27.2,21.8 - 27.2,2020,Sep
Massachusetts,2020-09-30,2020-10-12,22.5,19.4,25.8,19.4 - 25.8,2020,Sep
Michigan,2020-09-30,2020-10-12,25.6,22.1,29.4,22.1 - 29.4,2020,Sep
Minnesota,2020-09-30,2020-10-12,19.9,16.9,23.2,16.9 - 23.2,2020,Sep
Mississippi,2020-09-30,2020-10-12,25.1,21.4,29.1,21.4 - 29.1,2020,Sep
Missouri,2020-09-30,2020-10-12,25.5,22.2,29,22.2 - 29.0,2020,Sep
Montana,2020-09-30,2020-10-12,19.9,16.5,23.6,16.5 - 23.6,2020,Sep
Nebraska,2020-09-30,2020-10-12,20.9,18,24,18.0 - 24.0,2020,Sep
Nevada,2020-09-30,2020-10-12,29.2,25.1,33.6,25.1 - 33.6,2020,Sep
New Hampshire,2020-09-30,2020-10-12,19.8,15.5,24.7,15.5 - 24.7,2020,Sep
New Jersey,2020-09-30,2020-10-12,22.5,19.6,25.8,19.6 - 25.8,2020,Sep
New Mexico,2020-09-30,2020-10-12,26.1,22.4,30,22.4 - 30.0,2020,Sep
New York,2020-09-30,2020-10-12,23.3,19.8,27.1,19.8 - 27.1,2020,Sep
North Carolina,2020-09-30,2020-10-12,25.7,21.3,30.5,21.3 - 30.5,2020,Sep
North Dakota,2020-09-30,2020-10-12,16.6,13.1,20.7,13.1 - 20.7,2020,Sep
Ohio,2020-09-30,2020-10-12,25.5,22.4,28.8,22.4 - 28.8,2020,Sep
Oklahoma,2020-09-30,2020-10-12,27.2,24,30.7,24.0 - 30.7,2020,Sep
Oregon,2020-09-30,2020-10-12,24.9,22.6,27.3,22.6 - 27.3,2020,Sep
Pennsylvania,2020-09-30,2020-10-12,25.1,21.9,28.6,21.9 - 28.6,2020,Sep
Rhode Island,2020-09-30,2020-10-12,22.4,18.5,26.8,18.5 - 26.8,2020,Sep
South Carolina,2020-09-30,2020-10-12,20.3,16.8,24.3,16.8 - 24.3,2020,Sep
South Dakota,2020-09-30,2020-10-12,19,16.1,22.3,16.1 - 22.3,2020,Sep
Tennessee,2020-09-30,2020-10-12,24.5,20.9,28.3,20.9 - 28.3,2020,Sep
Texas,2020-09-30,2020-10-12,29,25.5,32.8,25.5 - 32.8,2020,Sep
Utah,2020-09-30,2020-10-12,23.5,21.5,25.7,21.5 - 25.7,2020,Sep
Vermont,2020-09-30,2020-10-12,30.1,24.9,35.6,24.9 - 35.6,2020,Sep
Virginia,2020-09-30,2020-10-12,23.1,20.1,26.3,20.1 - 26.3,2020,Sep
Washington,2020-09-30,2020-10-12,25.2,22.7,27.7,22.7 - 27.7,2020,Sep
West Virginia,2020-09-30,2020-10-12,27.5,21.7,33.9,21.7 - 33.9,2020,Sep
Wisconsin,2020-09-30,2020-10-12,21.6,19,24.4,19.0 - 24.4,2020,Sep
Wyoming,2020-09-30,2020-10-12,22.2,16.8,28.4,16.8 - 28.4,2020,Sep
Alabama,2020-09-30,2020-10-12,29.4,25.7,33.3,25.7 - 33.3,2020,Sep
Alaska,2020-09-30,2020-10-12,32.6,28.6,36.8,28.6 - 36.8,2020,Sep
Arizona,2020-09-30,2020-10-12,31.7,28.5,35.2,28.5 - 35.2,2020,Sep
Arkansas,2020-09-30,2020-10-12,35.4,31.3,39.6,31.3 - 39.6,2020,Sep
California,2020-09-30,2020-10-12,36.2,33.6,38.9,33.6 - 38.9,2020,Sep
Colorado,2020-09-30,2020-10-12,32.8,29.6,36.1,29.6 - 36.1,2020,Sep
Connecticut,2020-09-30,2020-10-12,28.4,25.4,31.4,25.4 - 31.4,2020,Sep
Delaware,2020-09-30,2020-10-12,32.8,28.7,37.1,28.7 - 37.1,2020,Sep
District of Columbia,2020-09-30,2020-10-12,34.8,28.8,41.1,28.8 - 41.1,2020,Sep
Florida,2020-09-30,2020-10-12,31.7,28.4,35.2,28.4 - 35.2,2020,Sep
Georgia,2020-09-30,2020-10-12,29,25,33.3,25.0 - 33.3,2020,Sep
Hawaii,2020-09-30,2020-10-12,30.6,25.7,35.9,25.7 - 35.9,2020,Sep
Idaho,2020-09-30,2020-10-12,29.4,26,32.9,26.0 - 32.9,2020,Sep
Illinois,2020-09-30,2020-10-12,32.2,29.2,35.4,29.2 - 35.4,2020,Sep
Indiana,2020-09-30,2020-10-12,30.1,27,33.3,27.0 - 33.3,2020,Sep
Iowa,2020-09-30,2020-10-12,26.8,22.6,31.3,22.6 - 31.3,2020,Sep
Kansas,2020-09-30,2020-10-12,32.3,28.2,36.5,28.2 - 36.5,2020,Sep
Kentucky,2020-09-30,2020-10-12,37.8,33.1,42.7,33.1 - 42.7,2020,Sep
Louisiana,2020-09-30,2020-10-12,36.9,32.6,41.4,32.6 - 41.4,2020,Sep
Maine,2020-09-30,2020-10-12,33.2,27.3,39.6,27.3 - 39.6,2020,Sep
Maryland,2020-09-30,2020-10-12,30.6,28.3,33.1,28.3 - 33.1,2020,Sep
Massachusetts,2020-09-30,2020-10-12,34.2,31,37.6,31.0 - 37.6,2020,Sep
Michigan,2020-09-30,2020-10-12,32.9,29.3,36.7,29.3 - 36.7,2020,Sep
Minnesota,2020-09-30,2020-10-12,26.2,23.4,29.1,23.4 - 29.1,2020,Sep
Mississippi,2020-09-30,2020-10-12,30.6,27,34.5,27.0 - 34.5,2020,Sep
Missouri,2020-09-30,2020-10-12,30.7,27.4,34.1,27.4 - 34.1,2020,Sep
Montana,2020-09-30,2020-10-12,27.8,23.6,32.4,23.6 - 32.4,2020,Sep
Nebraska,2020-09-30,2020-10-12,28.7,24.9,32.7,24.9 - 32.7,2020,Sep
Nevada,2020-09-30,2020-10-12,39.3,34.8,43.9,34.8 - 43.9,2020,Sep
New Hampshire,2020-09-30,2020-10-12,27.3,22.5,32.4,22.5 - 32.4,2020,Sep
New Jersey,2020-09-30,2020-10-12,34.7,31.8,37.8,31.8 - 37.8,2020,Sep
New Mexico,2020-09-30,2020-10-12,33.9,29.2,38.7,29.2 - 38.7,2020,Sep
New York,2020-09-30,2020-10-12,30.7,27.3,34.2,27.3 - 34.2,2020,Sep
North Carolina,2020-09-30,2020-10-12,29.7,25.4,34.3,25.4 - 34.3,2020,Sep
North Dakota,2020-09-30,2020-10-12,24.7,20.5,29.3,20.5 - 29.3,2020,Sep
Ohio,2020-09-30,2020-10-12,33.6,29.3,38.1,29.3 - 38.1,2020,Sep
Oklahoma,2020-09-30,2020-10-12,33.9,30.3,37.5,30.3 - 37.5,2020,Sep
Oregon,2020-09-30,2020-10-12,35.1,32.7,37.6,32.7 - 37.6,2020,Sep
Pennsylvania,2020-09-30,2020-10-12,32.6,29.2,36.1,29.2 - 36.1,2020,Sep
Rhode Island,2020-09-30,2020-10-12,29.5,25.7,33.6,25.7 - 33.6,2020,Sep
South Carolina,2020-09-30,2020-10-12,28.3,24,33,24.0 - 33.0,2020,Sep
South Dakota,2020-09-30,2020-10-12,26.9,22.5,31.6,22.5 - 31.6,2020,Sep
Tennessee,2020-09-30,2020-10-12,30.7,27.3,34.4,27.3 - 34.4,2020,Sep
Texas,2020-09-30,2020-10-12,33.2,29.5,37.2,29.5 - 37.2,2020,Sep
Utah,2020-09-30,2020-10-12,31.1,28.1,34.1,28.1 - 34.1,2020,Sep
Vermont,2020-09-30,2020-10-12,36.9,30.8,43.2,30.8 - 43.2,2020,Sep
Virginia,2020-09-30,2020-10-12,28.7,25.9,31.6,25.9 - 31.6,2020,Sep
Washington,2020-09-30,2020-10-12,34.5,31.4,37.7,31.4 - 37.7,2020,Sep
West Virginia,2020-09-30,2020-10-12,37.1,30.9,43.6,30.9 - 43.6,2020,Sep
Wisconsin,2020-09-30,2020-10-12,30.7,26.8,34.8,26.8 - 34.8,2020,Sep
Wyoming,2020-09-30,2020-10-12,27,22.5,31.9,22.5 - 31.9,2020,Sep
Alabama,2020-09-30,2020-10-12,33.6,29.6,37.8,29.6 - 37.8,2020,Sep
Alaska,2020-09-30,2020-10-12,37.4,33.5,41.3,33.5 - 41.3,2020,Sep
Arizona,2020-09-30,2020-10-12,37.8,33.9,41.8,33.9 - 41.8,2020,Sep
Arkansas,2020-09-30,2020-10-12,42.3,37.5,47.2,37.5 - 47.2,2020,Sep
California,2020-09-30,2020-10-12,42.4,40,44.9,40.0 - 44.9,2020,Sep
Colorado,2020-09-30,2020-10-12,37.5,34,41.1,34.0 - 41.1,2020,Sep
Connecticut,2020-09-30,2020-10-12,34.6,31,38.2,31.0 - 38.2,2020,Sep
Delaware,2020-09-30,2020-10-12,39,34.1,44.1,34.1 - 44.1,2020,Sep
District of Columbia,2020-09-30,2020-10-12,37.1,31.3,43.3,31.3 - 43.3,2020,Sep
Florida,2020-09-30,2020-10-12,37.8,34.5,41.1,34.5 - 41.1,2020,Sep
Georgia,2020-09-30,2020-10-12,34.7,30.3,39.3,30.3 - 39.3,2020,Sep
Hawaii,2020-09-30,2020-10-12,40.2,34.6,46,34.6 - 46.0,2020,Sep
Idaho,2020-09-30,2020-10-12,33.3,29.9,36.7,29.9 - 36.7,2020,Sep
Illinois,2020-09-30,2020-10-12,36.6,33.4,40,33.4 - 40.0,2020,Sep
Indiana,2020-09-30,2020-10-12,34.3,31.2,37.6,31.2 - 37.6,2020,Sep
Iowa,2020-09-30,2020-10-12,29.6,25,34.6,25.0 - 34.6,2020,Sep
Kansas,2020-09-30,2020-10-12,36.2,31.9,40.7,31.9 - 40.7,2020,Sep
Kentucky,2020-09-30,2020-10-12,42.8,38.1,47.7,38.1 - 47.7,2020,Sep
Louisiana,2020-09-30,2020-10-12,41.5,37.3,45.7,37.3 - 45.7,2020,Sep
Maine,2020-09-30,2020-10-12,36.3,30.8,42.1,30.8 - 42.1,2020,Sep
Maryland,2020-09-30,2020-10-12,36.9,33.8,40.1,33.8 - 40.1,2020,Sep
Massachusetts,2020-09-30,2020-10-12,37.6,34.3,41,34.3 - 41.0,2020,Sep
Michigan,2020-09-30,2020-10-12,37,33.2,40.8,33.2 - 40.8,2020,Sep
Minnesota,2020-09-30,2020-10-12,30.7,27.6,34,27.6 - 34.0,2020,Sep
Mississippi,2020-09-30,2020-10-12,35.1,31.4,38.9,31.4 - 38.9,2020,Sep
Missouri,2020-09-30,2020-10-12,36.4,33.1,39.9,33.1 - 39.9,2020,Sep
Montana,2020-09-30,2020-10-12,32.8,28.5,37.2,28.5 - 37.2,2020,Sep
Nebraska,2020-09-30,2020-10-12,32.5,28.7,36.4,28.7 - 36.4,2020,Sep
Nevada,2020-09-30,2020-10-12,43.3,38.8,47.9,38.8 - 47.9,2020,Sep
New Hampshire,2020-09-30,2020-10-12,31.4,26.5,36.5,26.5 - 36.5,2020,Sep
New Jersey,2020-09-30,2020-10-12,39.1,35.7,42.5,35.7 - 42.5,2020,Sep
New Mexico,2020-09-30,2020-10-12,41.1,36.3,46,36.3 - 46.0,2020,Sep
New York,2020-09-30,2020-10-12,35.2,31.4,39.1,31.4 - 39.1,2020,Sep
North Carolina,2020-09-30,2020-10-12,35.8,31.5,40.2,31.5 - 40.2,2020,Sep
North Dakota,2020-09-30,2020-10-12,27.8,23.5,32.5,23.5 - 32.5,2020,Sep
Ohio,2020-09-30,2020-10-12,38.5,34.4,42.8,34.4 - 42.8,2020,Sep
Oklahoma,2020-09-30,2020-10-12,38.1,34.5,41.8,34.5 - 41.8,2020,Sep
Oregon,2020-09-30,2020-10-12,39,36.3,41.8,36.3 - 41.8,2020,Sep
Pennsylvania,2020-09-30,2020-10-12,37.7,34,41.5,34.0 - 41.5,2020,Sep
Rhode Island,2020-09-30,2020-10-12,35.1,31,39.4,31.0 - 39.4,2020,Sep
South Carolina,2020-09-30,2020-10-12,32.9,28.6,37.4,28.6 - 37.4,2020,Sep
South Dakota,2020-09-30,2020-10-12,31.3,26.7,36.2,26.7 - 36.2,2020,Sep
Tennessee,2020-09-30,2020-10-12,36.2,32.7,39.7,32.7 - 39.7,2020,Sep
Texas,2020-09-30,2020-10-12,38.8,34.9,42.8,34.9 - 42.8,2020,Sep
Utah,2020-09-30,2020-10-12,36.1,33.6,38.7,33.6 - 38.7,2020,Sep
Vermont,2020-09-30,2020-10-12,44,38.1,50.1,38.1 - 50.1,2020,Sep
Virginia,2020-09-30,2020-10-12,32.9,29.9,36,29.9 - 36.0,2020,Sep
Washington,2020-09-30,2020-10-12,38.5,35.4,41.8,35.4 - 41.8,2020,Sep
West Virginia,2020-09-30,2020-10-12,42.8,37,48.7,37.0 - 48.7,2020,Sep
Wisconsin,2020-09-30,2020-10-12,34.5,30.9,38.3,30.9 - 38.3,2020,Sep
Wyoming,2020-09-30,2020-10-12,33.1,27.3,39.4,27.3 - 39.4,2020,Sep
Alabama,2020-10-14,2020-10-26,27.7,23.6,32.2,23.6 - 32.2,2020,Oct
Alaska,2020-10-14,2020-10-26,25.7,22.4,29.2,22.4 - 29.2,2020,Oct
Arizona,2020-10-14,2020-10-26,30.8,26.3,35.5,26.3 - 35.5,2020,Oct
Arkansas,2020-10-14,2020-10-26,27.3,23,32,23.0 - 32.0,2020,Oct
California,2020-10-14,2020-10-26,27.7,25.2,30.4,25.2 - 30.4,2020,Oct
Colorado,2020-10-14,2020-10-26,26.1,23.1,29.3,23.1 - 29.3,2020,Oct
Connecticut,2020-10-14,2020-10-26,21.8,18.4,25.4,18.4 - 25.4,2020,Oct
Delaware,2020-10-14,2020-10-26,23.3,18.5,28.6,18.5 - 28.6,2020,Oct
District of Columbia,2020-10-14,2020-10-26,26.2,20.5,32.5,20.5 - 32.5,2020,Oct
Florida,2020-10-14,2020-10-26,25.9,23.2,28.7,23.2 - 28.7,2020,Oct
Georgia,2020-10-14,2020-10-26,25.1,22.2,28.3,22.2 - 28.3,2020,Oct
Hawaii,2020-10-14,2020-10-26,27.5,23.1,32.3,23.1 - 32.3,2020,Oct
Idaho,2020-10-14,2020-10-26,25.9,23,28.9,23.0 - 28.9,2020,Oct
Illinois,2020-10-14,2020-10-26,24.2,21.5,27.2,21.5 - 27.2,2020,Oct
Indiana,2020-10-14,2020-10-26,27.2,24.3,30.3,24.3 - 30.3,2020,Oct
Iowa,2020-10-14,2020-10-26,22.4,19.3,25.7,19.3 - 25.7,2020,Oct
Kansas,2020-10-14,2020-10-26,26.2,22.8,29.9,22.8 - 29.9,2020,Oct
Kentucky,2020-10-14,2020-10-26,29.5,24.7,34.7,24.7 - 34.7,2020,Oct
Louisiana,2020-10-14,2020-10-26,31.6,26.9,36.6,26.9 - 36.6,2020,Oct
Maine,2020-10-14,2020-10-26,22.8,18.3,27.7,18.3 - 27.7,2020,Oct
Maryland,2020-10-14,2020-10-26,23.8,20.7,27.2,20.7 - 27.2,2020,Oct
Massachusetts,2020-10-14,2020-10-26,25.3,22.4,28.3,22.4 - 28.3,2020,Oct
Michigan,2020-10-14,2020-10-26,25.8,21.9,29.9,21.9 - 29.9,2020,Oct
Minnesota,2020-10-14,2020-10-26,19.3,16.7,22.1,16.7 - 22.1,2020,Oct
Mississippi,2020-10-14,2020-10-26,33.4,28.5,38.6,28.5 - 38.6,2020,Oct
Missouri,2020-10-14,2020-10-26,29.4,25.3,33.7,25.3 - 33.7,2020,Oct
Montana,2020-10-14,2020-10-26,20.1,16.1,24.6,16.1 - 24.6,2020,Oct
Nebraska,2020-10-14,2020-10-26,21.8,19,25,19.0 - 25.0,2020,Oct
Nevada,2020-10-14,2020-10-26,31,27.9,34.2,27.9 - 34.2,2020,Oct
New Hampshire,2020-10-14,2020-10-26,20.8,17,25.1,17.0 - 25.1,2020,Oct
New Jersey,2020-10-14,2020-10-26,23.4,20.2,26.9,20.2 - 26.9,2020,Oct
New Mexico,2020-10-14,2020-10-26,31.9,27.4,36.7,27.4 - 36.7,2020,Oct
New York,2020-10-14,2020-10-26,27,23.6,30.7,23.6 - 30.7,2020,Oct
North Carolina,2020-10-14,2020-10-26,21.4,17.8,25.4,17.8 - 25.4,2020,Oct
North Dakota,2020-10-14,2020-10-26,20.2,16.5,24.3,16.5 - 24.3,2020,Oct
Ohio,2020-10-14,2020-10-26,25,21.1,29.3,21.1 - 29.3,2020,Oct
Oklahoma,2020-10-14,2020-10-26,25.9,22,30.1,22.0 - 30.1,2020,Oct
Oregon,2020-10-14,2020-10-26,26.9,23.8,30.2,23.8 - 30.2,2020,Oct
Pennsylvania,2020-10-14,2020-10-26,22.2,18.9,25.8,18.9 - 25.8,2020,Oct
Rhode Island,2020-10-14,2020-10-26,24,19.4,29,19.4 - 29.0,2020,Oct
South Carolina,2020-10-14,2020-10-26,25.1,21,29.6,21.0 - 29.6,2020,Oct
South Dakota,2020-10-14,2020-10-26,19.7,15.7,24.4,15.7 - 24.4,2020,Oct
Tennessee,2020-10-14,2020-10-26,23.9,20.7,27.3,20.7 - 27.3,2020,Oct
Texas,2020-10-14,2020-10-26,29.4,26.1,32.8,26.1 - 32.8,2020,Oct
Utah,2020-10-14,2020-10-26,22.4,20.2,24.8,20.2 - 24.8,2020,Oct
Vermont,2020-10-14,2020-10-26,21.5,17.4,26.2,17.4 - 26.2,2020,Oct
Virginia,2020-10-14,2020-10-26,23.8,21,26.7,21.0 - 26.7,2020,Oct
Washington,2020-10-14,2020-10-26,28.4,25.5,31.4,25.5 - 31.4,2020,Oct
West Virginia,2020-10-14,2020-10-26,25.2,20.4,30.5,20.4 - 30.5,2020,Oct
Wisconsin,2020-10-14,2020-10-26,22.7,20.2,25.4,20.2 - 25.4,2020,Oct
Wyoming,2020-10-14,2020-10-26,20.8,17.1,24.9,17.1 - 24.9,2020,Oct
Alabama,2020-10-14,2020-10-26,29.9,26.1,33.9,26.1 - 33.9,2020,Oct
Alaska,2020-10-14,2020-10-26,33,29.1,37,29.1 - 37.0,2020,Oct
Arizona,2020-10-14,2020-10-26,35.1,31.1,39.3,31.1 - 39.3,2020,Oct
Arkansas,2020-10-14,2020-10-26,32,27.8,36.5,27.8 - 36.5,2020,Oct
California,2020-10-14,2020-10-26,35.3,32.8,37.8,32.8 - 37.8,2020,Oct
Colorado,2020-10-14,2020-10-26,34.1,30.8,37.6,30.8 - 37.6,2020,Oct
Connecticut,2020-10-14,2020-10-26,32.5,29.1,36,29.1 - 36.0,2020,Oct
Delaware,2020-10-14,2020-10-26,31.7,27,36.7,27.0 - 36.7,2020,Oct
District of Columbia,2020-10-14,2020-10-26,35.1,29.1,41.5,29.1 - 41.5,2020,Oct
Florida,2020-10-14,2020-10-26,30.3,27.4,33.3,27.4 - 33.3,2020,Oct
Georgia,2020-10-14,2020-10-26,33.2,30.2,36.3,30.2 - 36.3,2020,Oct
Hawaii,2020-10-14,2020-10-26,32.2,28,36.7,28.0 - 36.7,2020,Oct
Idaho,2020-10-14,2020-10-26,31.2,27.9,34.6,27.9 - 34.6,2020,Oct
Illinois,2020-10-14,2020-10-26,30.5,28,33.1,28.0 - 33.1,2020,Oct
Indiana,2020-10-14,2020-10-26,35.3,32,38.7,32.0 - 38.7,2020,Oct
Iowa,2020-10-14,2020-10-26,29.9,26.4,33.5,26.4 - 33.5,2020,Oct
Kansas,2020-10-14,2020-10-26,34.8,30.5,39.4,30.5 - 39.4,2020,Oct
Kentucky,2020-10-14,2020-10-26,35.3,31.3,39.5,31.3 - 39.5,2020,Oct
Louisiana,2020-10-14,2020-10-26,33.6,29.5,38,29.5 - 38.0,2020,Oct
Maine,2020-10-14,2020-10-26,32.5,27.9,37.4,27.9 - 37.4,2020,Oct
Maryland,2020-10-14,2020-10-26,33,29.5,36.6,29.5 - 36.6,2020,Oct
Massachusetts,2020-10-14,2020-10-26,33.8,31,36.8,31.0 - 36.8,2020,Oct
Michigan,2020-10-14,2020-10-26,31.3,27.6,35.2,27.6 - 35.2,2020,Oct
Minnesota,2020-10-14,2020-10-26,25.9,22.9,29.1,22.9 - 29.1,2020,Oct
Mississippi,2020-10-14,2020-10-26,35.9,31.3,40.6,31.3 - 40.6,2020,Oct
Missouri,2020-10-14,2020-10-26,35.2,31.3,39.3,31.3 - 39.3,2020,Oct
Montana,2020-10-14,2020-10-26,29.4,25.3,33.8,25.3 - 33.8,2020,Oct
Nebraska,2020-10-14,2020-10-26,28.6,25.5,31.9,25.5 - 31.9,2020,Oct
Nevada,2020-10-14,2020-10-26,37.1,32.8,41.5,32.8 - 41.5,2020,Oct
New Hampshire,2020-10-14,2020-10-26,26.5,23.3,29.8,23.3 - 29.8,2020,Oct
New Jersey,2020-10-14,2020-10-26,31,27.5,34.7,27.5 - 34.7,2020,Oct
New Mexico,2020-10-14,2020-10-26,39.5,35,44.2,35.0 - 44.2,2020,Oct
New York,2020-10-14,2020-10-26,34.3,30.5,38.3,30.5 - 38.3,2020,Oct
North Carolina,2020-10-14,2020-10-26,27,23.3,30.9,23.3 - 30.9,2020,Oct
North Dakota,2020-10-14,2020-10-26,28,23.4,33,23.4 - 33.0,2020,Oct
Ohio,2020-10-14,2020-10-26,31.7,27.6,35.9,27.6 - 35.9,2020,Oct
Oklahoma,2020-10-14,2020-10-26,34.8,30.9,38.8,30.9 - 38.8,2020,Oct
Oregon,2020-10-14,2020-10-26,36.6,33.5,39.8,33.5 - 39.8,2020,Oct
Pennsylvania,2020-10-14,2020-10-26,31.6,28.3,34.9,28.3 - 34.9,2020,Oct
Rhode Island,2020-10-14,2020-10-26,35.6,30.6,40.8,30.6 - 40.8,2020,Oct
South Carolina,2020-10-14,2020-10-26,32.8,28.8,36.9,28.8 - 36.9,2020,Oct
South Dakota,2020-10-14,2020-10-26,24.2,20.3,28.4,20.3 - 28.4,2020,Oct
Tennessee,2020-10-14,2020-10-26,32,28.1,36,28.1 - 36.0,2020,Oct
Texas,2020-10-14,2020-10-26,34.7,31.7,37.8,31.7 - 37.8,2020,Oct
Utah,2020-10-14,2020-10-26,29.1,26.8,31.4,26.8 - 31.4,2020,Oct
Vermont,2020-10-14,2020-10-26,33.3,28.8,38.1,28.8 - 38.1,2020,Oct
Virginia,2020-10-14,2020-10-26,30,26.4,33.8,26.4 - 33.8,2020,Oct
Washington,2020-10-14,2020-10-26,35.9,32.7,39.2,32.7 - 39.2,2020,Oct
West Virginia,2020-10-14,2020-10-26,31.9,27.3,36.8,27.3 - 36.8,2020,Oct
Wisconsin,2020-10-14,2020-10-26,32.1,29,35.3,29.0 - 35.3,2020,Oct
Wyoming,2020-10-14,2020-10-26,28.3,23.8,33,23.8 - 33.0,2020,Oct
Alabama,2020-10-14,2020-10-26,36,32.1,40.1,32.1 - 40.1,2020,Oct
Alaska,2020-10-14,2020-10-26,38.5,34.4,42.8,34.4 - 42.8,2020,Oct
Arizona,2020-10-14,2020-10-26,39.8,35.3,44.5,35.3 - 44.5,2020,Oct
Arkansas,2020-10-14,2020-10-26,38.5,34.1,43,34.1 - 43.0,2020,Oct
California,2020-10-14,2020-10-26,39.9,37.4,42.5,37.4 - 42.5,2020,Oct
Colorado,2020-10-14,2020-10-26,37.7,34.5,41.1,34.5 - 41.1,2020,Oct
Connecticut,2020-10-14,2020-10-26,36.9,33.1,40.8,33.1 - 40.8,2020,Oct
Delaware,2020-10-14,2020-10-26,34.3,29.5,39.4,29.5 - 39.4,2020,Oct
District of Columbia,2020-10-14,2020-10-26,40.1,34,46.4,34.0 - 46.4,2020,Oct
Florida,2020-10-14,2020-10-26,35.7,32.4,39,32.4 - 39.0,2020,Oct
Georgia,2020-10-14,2020-10-26,37.8,34.6,41.1,34.6 - 41.1,2020,Oct
Hawaii,2020-10-14,2020-10-26,38.8,34.2,43.6,34.2 - 43.6,2020,Oct
Idaho,2020-10-14,2020-10-26,35.9,32.6,39.3,32.6 - 39.3,2020,Oct
Illinois,2020-10-14,2020-10-26,34.8,31.9,37.8,31.9 - 37.8,2020,Oct
Indiana,2020-10-14,2020-10-26,38.8,35.4,42.3,35.4 - 42.3,2020,Oct
Iowa,2020-10-14,2020-10-26,33.4,30.1,36.9,30.1 - 36.9,2020,Oct
Kansas,2020-10-14,2020-10-26,39.6,35.4,43.9,35.4 - 43.9,2020,Oct
Kentucky,2020-10-14,2020-10-26,41.9,37.1,46.7,37.1 - 46.7,2020,Oct
Louisiana,2020-10-14,2020-10-26,41.2,36.4,46.3,36.4 - 46.3,2020,Oct
Maine,2020-10-14,2020-10-26,35.9,31.1,41,31.1 - 41.0,2020,Oct
Maryland,2020-10-14,2020-10-26,37.1,33.6,40.7,33.6 - 40.7,2020,Oct
Massachusetts,2020-10-14,2020-10-26,37.8,34.8,41,34.8 - 41.0,2020,Oct
Michigan,2020-10-14,2020-10-26,37,32.9,41.3,32.9 - 41.3,2020,Oct
Minnesota,2020-10-14,2020-10-26,30.6,27.7,33.6,27.7 - 33.6,2020,Oct
Mississippi,2020-10-14,2020-10-26,41.5,36.6,46.5,36.6 - 46.5,2020,Oct
Missouri,2020-10-14,2020-10-26,40.8,36.4,45.4,36.4 - 45.4,2020,Oct
Montana,2020-10-14,2020-10-26,34.8,30.3,39.5,30.3 - 39.5,2020,Oct
Nebraska,2020-10-14,2020-10-26,33.3,29.9,36.8,29.9 - 36.8,2020,Oct
Nevada,2020-10-14,2020-10-26,41.9,37.8,46,37.8 - 46.0,2020,Oct
